,Symbol
338,NOV
339,NTAP
340,NFLX
341,NWL
342,NEM
343,NWSA
344,NWS
345,NEE
346,NLSN
347,NKE
348,NI
349,NBL
350,JWN
351,NSC
352,NTRS
353,NOC
354,NLOK
355,NCLH
356,NRG
357,NUE
358,NVDA
359,NVR
360,ORLY
361,OXY
362,OMC
363,OKE
364,ORCL
365,PCAR
366,PKG
367,PH
368,PAYX
369,PYPL
370,PNR
371,PBCT
372,PEP
373,PKI
374,PRGO
375,PFE
376,PM
377,PSX
378,PNW
379,PXD
380,PNC
381,PPG
382,PPL
383,PFG
384,PG
385,PGR
386,PLD
387,PRU
388,PEG
389,PSA
390,PHM
391,PVH
392,QRVO
393,PWR
394,QCOM
395,DGX
396,RL
397,RJF
398,RTN
399,O
400,REG
401,REGN
402,RF
403,RSG
404,RMD
405,RHI
406,ROK
407,ROL
408,ROP
409,ROST
410,RCL
411,CRM
412,SBAC
413,SLB
414,STX
415,SEE
416,SRE
417,NOW
418,SHW
419,SPG
420,SWKS
421,SLG
422,SNA
423,SO
424,LUV
425,SPGI
426,SWK
427,SBUX
428,STT
429,SYK
430,STI
431,SIVB
432,SYF
433,SNPS
434,SYY
435,TMUS
436,TROW
437,TTWO
438,TPR
439,TGT
440,TEL
441,FTI
442,TFX
443,TXN
444,TXT
445,TMO
446,TIF
447,TWTR
448,TJX
449,TSCO
450,TDG
451,TRV
452,TRIP
453,TSN
454,UDR
455,ULTA
456,USB
457,UAA
458,UA
459,UNP
460,UAL
461,UNH
462,UPS
463,URI
464,UTX
465,UHS
466,UNM
467,VFC
468,VLO
469,VAR
470,VTR
471,VRSN
472,VRSK
473,VZ
474,VRTX
475,VIAB
476,V
477,VNO
478,VMC
479,WAB
480,WMT
481,WBA
482,DIS
483,WM
484,WAT
485,WEC
486,WCG
487,WFC
488,WELL
489,WDC
490,WU
491,WRK
492,WY
493,WHR
494,WMB
495,WLTW
496,WYNN
497,XEL
498,XRX
499,XLNX
500,XYL
501,YUM
502,ZBH
503,ZION
504,ZTS
